model,file_path,domain,cer,wer,first_partial_latency_s,first_final_latency_s,finalization_latency_s,total_latency_s,audio_duration_s,rtf,num_partial_results,num_final_results,ref,hyp
deepgram_nova3_streaming,/audio_books/book_10_d_86.wav,audio_books,0.15,0.5714285714285714,2.542,3.718,1.777,3.72,1.943,1.9146,1,1,ঠিক না থাকলে মিস্ত্রি ডেকে মেরামত কারায়,"ঠিক না থাকতে মিষ্ট্রি রেখে মেরামত করায়,"
deepgram_nova3_streaming,/audio_books/book_10_d_1047.wav,audio_books,0.0851063829787234,0.2222222222222222,2.436,4.03,1.584,4.032,2.448,1.6469,2,1,ফাঁস করে দেবার মতো দালাল রাজাকারদের তো অভাব নেই,ফাঁস করে দেবার মতো দালাল রাজা কাটতে তো অভাব নেই।
deepgram_nova3_streaming,/audio_books/book_10_d_1049.wav,audio_books,0.0,0.0,2.366,2.754,1.568,2.8,1.232,2.2724,1,1,কপাল মন্দ বলছি কেন,কপাল মন্দ বলছি কেন?
deepgram_nova3_streaming,/audio_books/book_10_d_823.wav,audio_books,0.1282051282051282,0.42857142857142855,2.296,3.774,1.46,3.815,2.355,1.6201,2,1,নানান রঙের পোশাক পরা নর্তকীর ছাপ দেওয়া,"নানান রঙের পোশাক পরে নরকের ছাপ দেয়া,"
deepgram_nova3_streaming,/audio_books/book_10_d_612.wav,audio_books,0.42105263157894735,0.6666666666666666,2.114,2.432,1.312,2.473,1.161,2.1299,1,1,খালেদ মোশাররফ ওখানে,"আরেক মুসার ওখানে,"
deepgram_nova3_streaming,/audio_books/book_10_d_640.wav,audio_books,0.02564102564102564,0.2,2.25,4.022,1.479,4.023,2.544,1.5813,2,1,না না না এক ক্লাসে হবে কেন ১৮ টা ক্লাসে,"না না, না, এক ক্লাসে হবে কেন? ১৮টা ক্লাসে?"
deepgram_nova3_streaming,/audio_books/book_10_d_503.wav,audio_books,0.05,0.25,2.103,3.138,1.331,3.185,1.854,1.7179,1,1,কোনো দিক থেকে কোনো খবর পাওয়ার উপায় নেই,কোন দিক থেকে কোন খবর পাওয়ার উপায় নেই।
deepgram_nova3_streaming,/audio_books/book_10_d_163.wav,audio_books,0.3333333333333333,0.6666666666666666,,2.486,1.579,2.487,0.908,2.739,0,1,ডা. শামসুল হক,"শামসুুল হক,"
deepgram_nova3_streaming,/audio_books/book_10_d_20.wav,audio_books,0.0,0.0,2.375,4.335,1.652,4.381,2.729,1.6054,2,1,আকাশবাণী বিবিসি স্বাধীন বাংলা রেডিও অস্ট্রেলিয়া,"আকাশবাণী, বিবিসি, স্বাধীন বাংলা, রেডিও অস্ট্রেলিয়া,"
deepgram_nova3_streaming,/audio_books/book_10_d_792.wav,audio_books,0.375,1.0,2.264,2.476,1.447,2.523,1.076,2.3446,1,1,বা দিকে ড্রইংরুম,"বাঁদিকে ড্রয়ংদ্রু,"
deepgram_nova3_streaming,/audio_books/book_10_d_751.wav,audio_books,0.0,0.0,2.355,2.652,1.515,2.654,1.139,2.3298,1,1,বুক দূর দূর করছে,বুক দূর দূর করছে।
deepgram_nova3_streaming,/audio_books/book_10_d_527.wav,audio_books,0.20689655172413793,0.6,2.075,4.592,1.278,4.644,3.366,1.3797,3,1,এনেছে গুলি খাওয়া বেয়নেট খোঁচানো হাত উড়ে যাওয়া এসব রোগী,"এনেছে গুলি খাওয়া, বেয়োনেট কোঁচানো, হাতটা উড়ে যাওয়াই শুভ"
deepgram_nova3_streaming,/audio_books/book_10_d_155.wav,audio_books,0.0,0.0,2.31,2.796,1.482,2.797,1.315,2.1271,1,1,সেক্টর টুতে যুদ্ধরত,"সেক্টর টুতে যুদ্ধরত,"
deepgram_nova3_streaming,/audio_books/book_10_d_452.wav,audio_books,0.3,0.25,2.239,2.373,1.397,2.421,1.024,2.364,1,1,ছেলের গায়ে জামা উঠে,গায়ে জামা উঠে
